run_id,experiment,task,peft_method,precision,lora_rank,prefix_num_virtual_tokens,seed,max_steps,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,max_seq_length,task_acc,task_acc_norm,eval_n,trainable_params,total_params,trainable_pct,peak_vram_gb,train_seconds,eval_seconds,train_tokens_per_sec,acc_per_param,acc_per_gpu_hour
exp2__lora_r16_int4__sst2__seed0,exp2,sst2,lora,int4,16,,0,1000,0.0002,16,2,128,0.9541284403669725,0.9541284403669725,872,2179072,890795520,0.24462089795871447,4.37559552,401.2541570197791,42.20280820131302,1495.3091189293875,4.378599882734359e-07,8.560316012257005
exp2__lora_r16_fp32__gsm8k__seed1,exp2,gsm8k,lora,fp32,16,,1,3000,0.0002,2,16,512,0.49,,500,2179072,1545893376,0.1409587513492263,12.762917888,7545.437407409772,1115.8736332319677,2367.619136626391,2.2486636513157894e-07,0.23378366352462435
exp2__lora_r16_fp32__gsm8k__seed0,exp2,gsm8k,lora,fp32,16,,0,3000,0.0002,2,16,512,0.498,,500,2179072,1545893376,0.1409587513492263,12.767828992,7910.675440695137,1114.3497462850064,2258.3055181480395,2.285376527255639e-07,0.2266304582257594
exp2__lora_r16_fp32__gsm8k__seed2,exp2,gsm8k,lora,fp32,16,,2,3000,0.0002,2,16,512,0.508,,500,2179072,1545893376,0.1409587513492263,12.765477888,7448.915402539074,1068.6798308081925,2398.2984145464375,2.331267622180451e-07,0.24551225261286042
exp2__lora_r16_int4__gsm8k__seed0,exp2,gsm8k,lora,int4,16,,0,3000,0.0002,4,8,512,0.46,,500,2179072,890795520,0.24462089795871447,6.265319936,6251.3331660069525,2270.152657918632,2857.745944040144,2.1109903665413536e-07,0.26490349434659427
exp2__lora_r16_int4__gsm8k__seed2,exp2,gsm8k,lora,int4,16,,2,3000,0.0002,4,8,512,0.48,,500,2179072,890795520,0.24462089795871447,6.265713152,6360.624943735078,2249.2131754904985,2808.6425717642614,2.2027725563909775e-07,0.2716714183410547
exp2__lora_r16_int4__gsm8k__seed1,exp2,gsm8k,lora,int4,16,,1,3000,0.0002,4,8,512,0.448,,500,2179072,890795520,0.24462089795871447,6.264795648,6638.363867100328,2466.8490661792457,2691.133290920885,2.055921052631579e-07,0.24295143084774584
exp2__lora_r16_fp32__hellaswag__seed1,exp2,hellaswag,lora,fp32,16,,1,2000,0.0002,4,8,256,0.486,0.6095,2000,2179072,1545893376,0.1409587513492263,9.993821184,2413.6095816530287,74.2085887324065,2052.7503858377727,2.7970622356672933e-07,0.9090948331822747
exp2__lora_r16_fp32__hellaswag__seed0,exp2,hellaswag,lora,fp32,16,,0,2000,0.0002,4,8,256,0.4875,0.613,2000,2179072,1545893376,0.1409587513492263,9.993816576,2537.9617736637592,81.3700994644314,1952.1720348245087,2.8131241188909775e-07,0.8695166424095901
exp2__lora_r16_int4__hellaswag__seed0,exp2,hellaswag,lora,int4,16,,0,2000,0.0002,8,4,256,0.487,0.606,2000,2179072,890795520,0.24462089795871447,4.547617792,2062.1425711363554,98.65256188064814,2402.616613103416,2.781000352443609e-07,1.0579287923811287
exp2__lora_r16_fp32__hellaswag__seed2,exp2,hellaswag,lora,fp32,16,,2,2000,0.0002,4,8,256,0.485,0.612,2000,2179072,1545893376,0.1409587513492263,9.995459584,2301.9190737698227,73.07028523087502,2152.3510780446413,2.808535009398496e-07,0.9571144464222403
exp2__lora_r16_int4__hellaswag__seed1,exp2,hellaswag,lora,int4,16,,1,2000,0.0002,8,4,256,0.483,0.601,2000,2179072,890795520,0.24462089795871447,4.546388992,2034.7260383907706,95.52697587572038,2434.990218102511,2.7580548049812027e-07,1.0633372548331634
exp2__lora_r16_int4__hellaswag__seed2,exp2,hellaswag,lora,int4,16,,2,2000,0.0002,8,4,256,0.485,0.602,2000,2179072,890795520,0.24462089795871447,4.546782208,2355.983807500452,99.58820084109902,2102.9592751133755,2.762643914473684e-07,0.9198704987277738
exp2__lora_r16_fp32__sst2__seed0,exp2,sst2,lora,fp32,16,,0,1000,0.0002,8,4,128,0.9529816513761468,0.9529816513761468,872,2179072,1545893376,0.1409587513492263,9.709653504,424.62639877945185,18.0675035584718,1413.0044710471134,4.3733371424906875e-07,8.079417471017926
exp2__lora_r16_fp32__sst2__seed1,exp2,sst2,lora,fp32,16,,1,1000,0.0002,8,4,128,0.9575688073394495,0.9575688073394495,872,2179072,1545893376,0.1409587513492263,9.701476352,409.5025022197515,17.189521560445428,1465.1900702624334,4.394388103465372e-07,8.41813587886728
exp2__lora_r16_fp32__sst2__seed2,exp2,sst2,lora,fp32,16,,2,1000,0.0002,8,4,128,0.9552752293577982,0.9552752293577982,872,2179072,1545893376,0.1409587513492263,9.661303296,425.9495730958879,18.240550592541695,1408.615098822815,4.38386262297803e-07,8.073704125802475
exp2__lora_r16_int4__sst2__seed1,exp2,sst2,lora,int4,16,,1,1000,0.0002,16,2,128,0.9529816513761468,0.9529816513761468,872,2179072,890795520,0.24462089795871447,4.366088192,575.8959566075355,39.13197460025549,1041.853121411808,4.3733371424906875e-07,5.957211377492136
exp2__lora_r16_int4__sst2__seed2,exp2,sst2,lora,int4,16,,2,1000,0.0002,16,2,128,0.9529816513761468,0.9529816513761468,872,2179072,890795520,0.24462089795871447,4.344619008,519.1402610559016,39.8781602550298,1155.7550916579582,4.3733371424906875e-07,6.608491389159862
exp3__prefix20__sst2__seed0,exp3,sst2,prefix,bf16,,20,0,1000,0.001,16,2,128,0.5470183486238532,0.5470183486238532,872,286720,1544001024,0.018569935870716106,7.615575552,138.67712241085246,15.109495563898236,4326.589631867396,1.9078485931356487e-06,14.200367160861731
exp3__ia3__sst2__seed0,exp3,sst2,ia3,bf16,,,0,1000,0.003,16,2,128,0.9518348623853211,0.9518348623853211,872,265216,1543979520,0.017177429918241404,8.733733376,145.61116527067497,14.726525316946208,4120.55626973844,3.5889043737380894e-06,23.53257388070123
exp3__ia3__gsm8k__seed0,exp3,gsm8k,ia3,bf16,,,0,3000,0.003,4,8,512,0.462,,500,265216,1543979520,0.017177429918241404,13.51960832,2473.8145633828826,969.0416655992158,7221.528349146112,1.7419763513513515e-06,0.6723220182379449
exp3__ia3__gsm8k__seed1,exp3,gsm8k,ia3,bf16,,,1,3000,0.003,4,8,512,0.476,,500,265216,1543979520,0.017177429918241404,13.577882112,2544.981086392887,960.1003821738996,7019.589298921059,1.7947635135135134e-06,0.6733252396892113
exp3__prefix20__gsm8k__seed0,exp3,gsm8k,prefix,bf16,,20,0,3000,0.001,4,8,512,0.264,,500,286720,1544001024,0.018569935870716106,11.41927936,2328.218132211361,799.4895496377721,7673.130688588847,9.207589285714286e-07,0.4082091737243289
exp3__ia3__gsm8k__seed2,exp3,gsm8k,ia3,bf16,,,2,3000,0.003,4,8,512,0.488,,500,265216,1543979520,0.017177429918241404,13.520656896,2522.1549577559344,957.0651498939842,7083.11832509093,1.8400096525096526e-06,0.6965472103915048
